year,"Meat of pig with the bone, fresh or chilled (indigenous)",Rice,Maize (corn),小麦,"Other vegetables, fresh n.e.c.",甘薯,"Meat of cattle with the bone, fresh or chilled (indigenous)","Hen eggs in shell, fresh",Tea leaves,"Seed cotton, unginned",马铃薯,"Meat of chickens, fresh or chilled (indigenous)",蘑菇和块菌,甘蔗,番茄,"Eggs from other birds in shell, fresh, n.e.c.",苹果,黄瓜和小黄瓜,西瓜,"Groundnuts, excluding shelled",Green garlic,"Meat of goat, fresh or chilled (indigenous)",Raw milk of cattle,Soya beans,"Meat of sheep, fresh or chilled (indigenous)","Meat of pig with the bone, fresh or chilled","Onions and shallots, dry (excluding dehydrated)",茄子,Unmanufactured tobacco,"Meat of geese, fresh or chilled (indigenous)"
1961,8246208.0,50076099.0,10455964.0,8844006.0,7638953.0,37291250.0,700050.0,2826939.0,610751.0,5339372.0,7627864.0,3068334.0,642147.0,2325150.0,4580328.0,2628767.0,172810.0,3807982.0,3944315.0,2235196.0,6178675.0,631100.0,801737.0,7093364.0,635402.0,6673319.0,4287321.0,3188380.0,2212657.0,450950.0
1962,11042255.0,58537126.0,9444154.0,10338264.0,7928767.0,40055223.0,1090051.0,2847383.0,583025.0,5006990.0,8160132.0,3202634.0,685190.0,1858921.0,4582848.0,2663466.0,232828.0,3783521.0,3961348.0,2323260.0,4735771.0,631264.0,800320.0,7433367.0,635404.0,9255571.0,4194742.0,2441269.0,2439091.0,496937.0
1963,18237684.0,68183208.0,11956079.0,11447885.0,6689993.0,36592282.0,1283576.0,2887198.0,656726.0,8009488.0,7097240.0,3141119.0,762151.0,3519497.0,4062564.0,2697953.0,256628.0,3382298.0,3548394.0,2960975.0,4251988.0,770449.0,791205.0,7887331.0,750932.0,14266249.0,3756319.0,2186953.0,2783229.0,544631.0
1964,23492547.0,76597914.0,13183517.0,12912655.0,5941479.0,33577619.0,1329506.0,2971467.0,700717.0,11097111.0,8283992.0,2909966.0,748899.0,5169700.0,3634541.0,2770994.0,310437.0,2987280.0,3151296.0,3641711.0,3799129.0,910852.0,824450.0,8981318.0,866457.0,17866523.0,3343791.0,1949476.0,3186548.0,593746.0
1965,26874756.0,80930040.0,13740177.0,15626374.0,6526565.0,41588664.0,1664127.0,3062121.0,768969.0,14000010.0,9464540.0,2731563.0,791122.0,5873204.0,3830597.0,2856272.0,329064.0,3150648.0,3293863.0,4011878.0,4010303.0,1050130.0,854064.0,7022904.0,981984.0,20064140.0,3480636.0,2056473.0,3454556.0,644569.0
1966,29408836.0,87824343.0,16924367.0,15665898.0,6453249.0,47173297.0,1276716.0,3168872.0,808962.0,15593478.0,10646537.0,2700058.0,825363.0,5083020.0,3693300.0,2945255.0,517397.0,3119417.0,3309099.0,4764946.0,4007154.0,1260216.0,840251.0,9439888.0,1155088.0,21971316.0,3429122.0,2028026.0,4515282.0,692546.0
1967,30632775.0,86324734.0,17985476.0,17648116.0,6650660.0,47033349.0,1338506.0,3309753.0,868067.0,15706829.0,10590952.0,3293970.0,871945.0,5348458.0,3740077.0,3086616.0,651920.0,3186213.0,3361151.0,4546513.0,4079336.0,1288738.0,822983.0,9449033.0,1212526.0,22121613.0,3483258.0,2069097.0,4859809.0,735404.0
1968,30623857.0,87188946.0,16889488.0,17007185.0,6964704.0,46620256.0,1347507.0,3479436.0,902369.0,15707467.0,10531393.0,3520070.0,887349.0,4628654.0,3843022.0,3187724.0,776095.0,3575540.0,3482145.0,3962051.0,4268766.0,1287875.0,807927.0,9186136.0,1270371.0,22239687.0,3791588.0,2209910.0,4872840.0,787932.0
1969,29808914.0,87470200.0,16509613.0,16898532.0,7101163.0,50388599.0,1391842.0,3652569.0,936825.0,13872105.0,11420925.0,3646430.0,855565.0,4569640.0,4039681.0,3324184.0,1034792.0,3715722.0,3620694.0,3784921.0,4456226.0,1315727.0,821366.0,8716036.0,1293478.0,21691028.0,3949090.0,2287431.0,4463068.0,835910.0
1970,29848411.0,100982128.0,19189788.0,18071961.0,6643419.0,55343584.0,1389191.0,3687821.0,1037414.0,15194897.0,12718953.0,3772710.0,868998.0,5585580.0,3518927.0,3418638.0,825765.0,2491996.0,2765480.0,4443646.0,3048511.0,1329989.0,868457.0,9941012.0,1328093.0,21736944.0,2773553.0,1682179.0,4517349.0,883319.0
1971,34263635.0,105507861.0,20825945.0,20170294.0,7359872.0,51345443.0,1562848.0,3803735.0,1151972.0,14045385.0,13019728.0,4075511.0,898218.0,5638853.0,3899045.0,3568801.0,883713.0,2823336.0,3066990.0,4570892.0,3566505.0,1539118.0,907247.0,9824250.0,1443618.0,25760620.0,3102437.0,1925300.0,4499467.0,927883.0
1972,38106125.0,103967123.0,18655391.0,22281254.0,6596414.0,48961305.0,1664369.0,3949469.0,1265484.0,13064319.0,13902567.0,4493598.0,990849.0,6791414.0,3575953.0,3665129.0,879574.0,2608753.0,2676552.0,4291636.0,3234399.0,1678082.0,954826.0,7370745.0,1559150.0,28658958.0,2829615.0,1758750.0,4807691.0,975293.0
1973,38029020.0,111299822.0,22450114.0,21810396.0,7458788.0,64344562.0,1837135.0,4026377.0,1356968.0,17093442.0,15971108.0,4128294.0,923703.0,7031619.0,3827441.0,3859327.0,1349740.0,2912243.0,2998367.0,4376738.0,3681008.0,1887599.0,978347.0,9551403.0,1674561.0,28378669.0,3084821.0,2213347.0,5434206.0,1022701.0
1974,37696634.0,113444819.0,24948729.0,25302379.0,7368947.0,56664019.0,1953318.0,4148202.0,1449311.0,16419068.0,15379909.0,4071765.0,896287.0,6956937.0,3890451.0,3922061.0,1200350.0,2955058.0,2985043.0,4750357.0,3720092.0,1957426.0,989964.0,8534190.0,1732201.0,28073332.0,3119115.0,2227038.0,5625066.0,1069541.0
1975,38224913.0,114974992.0,27456303.0,28055636.0,7649694.0,58090434.0,2034553.0,4276960.0,1545749.0,15884234.0,14381987.0,4099219.0,858359.0,6932545.0,4111834.0,4197839.0,1641587.0,3044026.0,3102442.0,4641505.0,3900887.0,2097618.0,1011865.0,8269177.0,1836157.0,28481251.0,3211930.0,2239377.0,5491578.0,1116950.0
1976,38113216.0,115398364.0,27986466.0,31197024.0,7522211.0,54097364.0,1976267.0,4493498.0,1694695.0,13709366.0,13379227.0,4534692.0,854661.0,7015878.0,4100360.0,4330156.0,1795769.0,3058590.0,3120484.0,3849137.0,3919977.0,1889298.0,1044558.0,7580987.0,1790678.0,28629142.0,3218589.0,2031517.0,5585222.0,1164927.0
1977,38308388.0,117813074.0,28704106.0,25432662.0,7931631.0,59311488.0,2106340.0,4733125.0,1828042.0,13671595.0,15795361.0,5374801.0,922714.0,7643496.0,4296979.0,4439149.0,2191629.0,3209365.0,3235557.0,4040615.0,4162385.0,1958585.0,1064540.0,8284085.0,1906206.0,28846191.0,3404332.0,2123785.0,5673247.0,1215181.0
1978,42087222.0,125105576.0,32509841.0,33336775.0,9094352.0,63296835.0,2086957.0,4975018.0,1935201.0,14458967.0,16891846.0,5632612.0,1000671.0,8628209.0,5144872.0,4833276.0,2370715.0,3364295.0,3418971.0,4855082.0,4260400.0,2026210.0,1237126.0,8627791.0,2021734.0,30896776.0,3598217.0,2140079.0,7098906.0,1265889.0
1979,52000055.0,131217915.0,34879724.0,38841178.0,9707717.0,56719255.0,2373682.0,5221117.0,2002159.0,14723329.0,15156562.0,5875156.0,955368.0,8899973.0,4974765.0,4989024.0,2989324.0,3371768.0,3388363.0,5729901.0,4434411.0,2388929.0,994981.0,8495957.0,2379563.0,36897536.0,3526698.0,2218680.0,5401832.0,1314641.0
1980,55982585.0,127675994.0,36371922.0,34185235.0,8915932.0,57180987.0,2643416.0,5456568.0,2176445.0,18058964.0,15302065.0,5974643.0,906961.0,9339442.0,5200970.0,5187871.0,2464102.0,3229038.0,3253503.0,7275665.0,4220366.0,2793442.0,1289590.0,9036577.0,2888099.0,41130930.0,3336537.0,2159006.0,5160762.0,1360365.0
1981,60909664.0,131330185.0,34397171.0,36928060.0,11235194.0,51014571.0,2687963.0,5618432.0,2446413.0,19799939.0,14594747.0,6323703.0,855219.0,11860156.0,5175458.0,5304423.0,3124685.0,3733318.0,3753748.0,7718199.0,4879897.0,3072516.0,1442655.0,10601708.0,2945954.0,43071244.0,3836028.0,2494263.0,8538700.0,1407047.0
1982,64740283.0,147246441.0,35189461.0,42395066.0,12611667.0,53081833.0,2699172.0,5978062.0,2811715.0,24002661.0,15204439.0,6557676.0,860774.0,14544262.0,5436744.0,5642157.0,2524972.0,4030106.0,3742241.0,7898594.0,5252987.0,3490631.0,1784738.0,10263765.0,3177010.0,45378213.0,4109565.0,2676629.0,12395157.0,1462898.0
1983,67103356.0,153757641.0,39659549.0,50394277.0,16645363.0,57298988.0,2999744.0,6477636.0,2837019.0,30933720.0,16435605.0,6643372.0,886233.0,12300002.0,5864020.0,6032709.0,3675547.0,4189756.0,4206537.0,7938058.0,5455841.0,3602475.0,1972901.0,11090120.0,3315642.0,46421397.0,4094843.0,2750474.0,7882700.0,1514824.0
1984,73362530.0,161933758.0,42694981.0,54372766.0,21148279.0,55181763.0,3383313.0,8264873.0,2929353.0,41747508.0,16681539.0,6581981.0,945257.0,15380509.0,5940162.0,7720883.0,3056095.0,4434301.0,4695953.0,9690379.0,5525106.0,3993539.0,2289363.0,11017035.0,3465829.0,49712714.0,4107435.0,2825909.0,10201282.0,1544992.0
1985,83705013.0,153184270.0,37148051.0,53128141.0,21069340.0,49979974.0,3898394.0,10105638.0,3050452.0,27665045.0,15831536.0,7232204.0,977693.0,19891550.0,6151287.0,9494415.0,3752779.0,4596840.0,7311648.0,13365386.0,5689152.0,4090425.0,2583856.0,11933239.0,3465829.0,55619387.0,4612943.0,2903716.0,13779786.0,1563044.0
1986,86663296.0,156260900.0,41245504.0,55751027.0,29919900.0,49119756.0,5044306.0,10510285.0,3245762.0,23615710.0,14796329.0,7994180.0,1041879.0,19314275.0,6162880.0,9849131.0,3467732.0,4679615.0,7645184.0,11795607.0,5878666.0,4188796.0,2965492.0,13200358.0,3719989.0,58139795.0,4709675.0,2980237.0,9730223.0,1800778.0
