year,total,rice,wheat,corn,beans,soybean,tubers,cereal
1949,11318.4,4864.8,1381.5,1242.0,,509.2,984.3,
1950,13212.9,5510.7,1450.2,1389.4,,744.3,1239.4,
1951,14368.9,6055.9,1723.7,1381.0,,863.4,1400.9,
1952,16393.1,6843.3,1813.1,1685.0,,952.6,1633.0,
1953,16684.1,7128.0,1828.8,1668.8,,993.8,1666.1,
1954,16952.8,7086.0,2334.1,1714.7,,908.6,1698.8,
1955,18394.6,7803.1,2297.3,2032.0,,912.8,1890.4,
1956,19275.6,8248.7,2480.9,2307.4,,1024.3,2185.9,
1957,19504.5,8678.0,2364.4,2144.0,,1005.1,2192.7,
1958,19766.3,8085.3,2259.3,2313.1,,866.7,3272.7,
1959,16969.2,6936.8,2218.5,1664.6,,876.5,2382.3,
1960,14385.7,5973.3,2217.8,1603.1,,639.1,2035.7,
1961,13650.9,5364.8,1425.6,1549.5,,620.7,2173.6,
1962,15441.4,6299.1,1667.1,1626.7,,651.1,2344.9,
1963,16574.1,7376.5,1847.5,2057.9,,691.0,2139.0,
1964,18088.7,8300.0,2084.0,2269.7,,787.0,2012.5,
1965,19452.5,8772.0,2522.0,2365.5,,613.5,1986.0,
1966,21400.9,9539.0,2528.0,2842.6,,826.5,2252.5,
1967,21782.3,9368.5,2848.5,2740.8,,826.5,2243.0,
1968,20906.0,9453.0,2745.5,2503.2,,803.5,2228.5,
1969,21097.3,9506.5,2728.5,2492.1,,762.5,2411.5,
1970,23995.5,10999.0,2918.5,3303.0,,870.5,2667.5,
1971,25014.0,11520.5,3257.5,3585.0,,860.5,2506.5,
1972,24048.0,11335.5,3598.5,3210.0,,645.0,2451.5,
1973,26493.5,12173.5,3522.5,3862.5,,836.5,3155.5,
1974,27527.0,12390.5,4086.5,4291.5,,747.0,2824.0,
1975,28451.5,12556.0,4531.0,4721.5,,724.0,2856.5,
1976,28630.5,12580.5,5036.0,4816.0,,664.0,2666.0,
1977,28272.5,12856.5,4107.5,4938.5,,725.5,2967.0,
1978,30476.5,13693.0,5384.0,5594.5,,756.5,3174.0,
1979,33211.5,14375.0,6273.0,6003.5,,746.0,2846.0,
1980,32055.5,13990.5,5520.5,6260.0,,794.0,2872.5,
1981,32502.0,14395.5,5964.0,5920.5,,932.5,2597.0,
1982,35450.0,16159.5,6847.0,6056.0,,903.0,2704.5,
1983,38727.5,16886.5,8139.0,6820.5,,976.0,2924.5,
1984,40730.5,17825.5,8781.5,7341.0,,969.5,2847.5,
1985,37910.8,16856.9,8580.5,6382.6,,1050.0,2603.6,
1986,39151.2,17222.4,9004.0,7085.6,,1161.4,2533.7,
1987,40473.1,17441.6,8776.8,7982.2,,1218.4,2822.3,
1988,39408.1,16910.74,8543.2,7735.1,,1164.5,2696.5,
1989,40754.9,18013.0,9080.7,7892.8,,1022.7,2730.4,
1990,44624.3,18933.14,9822.9,9681.9,,1100.0,2743.26,
1991,43529.3,18381.3,9595.3,9877.3,1247.1,971.3,2715.9,39566.3
1992,44265.8,18622.2,10158.7,9538.3,1252.0,1030.4,2844.2,40169.6
1993,45648.8,17751.4,10639.0,10270.4,1950.4,1530.7,3181.1,40517.4
1994,44510.1,17593.3,9929.7,9927.5,2095.6,1599.9,3025.4,39389.1
1995,46661.8,18522.6,10220.7,11198.6,1787.5,1350.2,3262.6,41611.6
1996,50453.5,19510.27,11056.91,12747.1,1790.3,1322.42,3536.03,45127.14
1997,49417.1,20073.48,12328.85,10430.87,1875.5,1473.15,3192.29,44349.31
1998,51229.53,19871.3,10972.61,13295.4,2000.6,1515.18,3604.21,45624.72
1999,50838.58,19848.73,11387.96,12808.63,1893.96,1424.53,3640.56,45304.06
2000,46217.52,18790.77,9963.58,10599.98,2010.0,1540.9,3685.16,40522.36
2001,45263.67,17758.03,9387.34,11408.77,2052.81,1540.56,3563.07,39648.21
2002,45705.75,17453.85,9029.0,12130.76,2241.22,1650.54,3665.87,39798.66
