数据库：年度数据 
时间：1949年-2025年;2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,2015年	,2014年	,2013年	,2012年	,2011年	,2010年	,2009年	,2008年	,2007年	,2006年	,2005年	,2004年	,2003年	,2002年	,2001年	,2000年	,1999年	,1998年	,1997年	,1996年	,1995年	,1994年	,1993年	,1992年	,1991年	,1990年	,1989年	,1988年	,1987年	,1986年	,1985年	,1984年	,1983年	,1982年	,1981年	,1980年	,1979年	,1978年	,1977年	,1976年	,1975年	,1974年	,1973年	,1972年	,1971年	,1970年	,1969年	,1968年	,1967年	,1966年	,1965年	,1964年	,1963年	,1962年	,1961年	,1960年	,1959年	,1958年	,1957年	,1956年	,1955年	,1954年	,1953年	,1952年	,1951年	,1950年	,1949年	,
粮食产量 (万吨) 	,71488.00	,70649.89	,69540.99	,68652.77	,68284.75	,66949.15	,66384.34	,65789.22	,66160.73	,66043.51	,66060.27	,63964.83	,63048.20	,61222.62	,58849.33	,55911.31	,53940.86	,53434.29	,50413.85	,49804.23	,48402.19	,46946.95	,43069.53	,45705.75	,45263.67	,46217.52	,50838.58	,51229.53	,49417.10	,50453.50	,46661.80	,44510.10	,45648.80	,44265.80	,43529.30	,44624.30	,40754.90	,39408.10	,40473.10	,39151.20	,37910.80	,40730.50	,38727.50	,35450.00	,32502.00	,32055.50	,33211.50	,30476.50	,28272.50	,28630.50	,28451.50	,27527.00	,26493.50	,24048.00	,25014.00	,23995.50	,21097.30	,20906.00	,21782.30	,21400.90	,19452.50	,18088.70	,16574.10	,15441.40	,13650.90	,14385.70	,16969.20	,19766.30	,19504.50	,19275.60	,18394.60	,16952.80	,16684.10	,16393.10	,14368.90	,13212.90	,11318.40	,
夏收粮食产量 (万吨) 	,14975.00	,14989.00	,14615.20	,14740.35	,14595.68	,14285.61	,14160.23	,13881.02	,14174.46	,14050.16	,14074.94	,13587.52	,13112.33	,12939.98	,12529.47	,12203.61	,12175.18	,11993.11	,11633.72	,11655.96	,10639.86	,10114.13	,9637.61	,9861.33	,10173.40	,10679.27	,11850.25	,11322.44	,12768.19	,11427.32	,10692.70	,10430.30	,10841.90	,10327.60	,9840.50	,10012.90	,9375.20	,9098.80	,9234.80	,9329.10	,8873.50	,9198.50	,8444.00	,7325.50	,6399.00	,5928.00	,6786.50	,5937.50	,4404.00	,5505.00	,4992.00	,4612.50	,4051.50	,4243.00	,3937.50	,3328.00	,3053.50	,3086.70	,3204.00	,2987.50	,3210.00	,2609.20	,2374.70	,2319.50	,1986.20	,2853.00	,2553.30	,2849.80	,3029.00	,3082.30	,2781.10	,2865.40	,2270.00	,2330.30	,2313.60	,1963.30	,1895.60	,
秋粮产量 (万吨) 	,53662.00	,52843.00	,52092.00	,51100.15	,50887.42	,49934.24	,49597.58	,49049.18	,48999.10	,48890.78	,48778.09	,47134.25	,46660.07	,45052.75	,43130.10	,40617.59	,38472.42	,38322.15	,35638.37	,35008.49	,34575.08	,33611.17	,30483.67	,32815.45	,31690.00	,31786.35	,34891.67	,35854.80	,32071.29	,34627.98	,31747.10	,29993.60	,30691.80	,29289.50	,29063.90	,29553.90	,26581.30	,25607.90	,26471.40	,24860.20	,24156.60	,26201.50	,25207.00	,22818.50	,21149.50	,21213.50	,21227.00	,19458.00	,19248.50	,17961.50	,18589.50	,17833.00	,17965.50	,15231.50	,16651.50	,16926.50	,15026.00	,14967.70	,15594.00	,15438.60	,13748.00	,13451.90	,12528.40	,11660.70	,10227.20	,9713.30	,12521.00	,14509.00	,14541.50	,14260.10	,14077.00	,12738.70	,13049.50	,12882.80	,10949.60	,10220.00	,8427.00	,
谷物产量 (万吨) 	,66021.00	,65228.72	,64143.01	,63324.34	,63275.69	,61674.28	,61369.73	,61003.58	,61520.54	,61666.53	,61818.41	,59601.54	,58650.35	,56659.03	,54061.73	,51196.75	,49243.35	,48569.44	,45962.96	,45099.24	,42776.01	,41157.21	,37428.73	,39798.66	,39648.21	,40522.36	,45304.06	,45624.72	,44349.31	,45127.14	,41611.60	,39389.10	,40517.40	,40169.60	,39566.30	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
稻谷产量 (万吨) 	,20904.00	,20753.49	,20660.32	,20849.48	,21284.24	,21185.96	,20961.40	,21212.90	,21267.59	,21109.42	,21214.19	,20960.91	,20628.56	,20653.23	,20288.25	,19722.57	,19619.67	,19261.22	,18638.11	,18171.83	,18058.84	,17908.76	,16065.56	,17453.85	,17758.03	,18790.77	,19848.73	,19871.30	,20073.48	,19510.27	,18522.60	,17593.30	,17751.40	,18622.20	,18381.30	,18933.14	,18013.00	,16910.74	,17441.60	,17222.40	,16856.90	,17825.50	,16886.50	,16159.50	,14395.50	,13990.50	,14375.00	,13693.00	,12856.50	,12580.50	,12556.00	,12390.50	,12173.50	,11335.50	,11520.50	,10999.00	,9506.50	,9453.00	,9368.50	,9539.00	,8772.00	,8300.00	,7376.50	,6299.10	,5364.80	,5973.30	,6936.80	,8085.30	,8678.00	,8248.70	,7803.10	,7086.00	,7128.00	,6843.30	,6055.90	,5510.70	,4864.80	,
早稻产量 (万吨) 	,2851.00	,2817.00	,2833.70	,2812.27	,2801.64	,2729.31	,2626.54	,2859.02	,2987.16	,3102.57	,3207.25	,3243.05	,3275.81	,3229.89	,3189.76	,3090.10	,3293.26	,3119.03	,3141.76	,3139.78	,3187.25	,3221.65	,2948.25	,3028.97	,3400.27	,3751.90	,4096.66	,4052.30	,4577.62	,4398.20	,4222.00	,4086.20	,4115.10	,4648.70	,4624.90	,5057.50	,4798.40	,4701.40	,4766.90	,4961.90	,4880.70	,5330.50	,5076.50	,5306.00	,4953.50	,4914.00	,5198.00	,5081.00	,4620.00	,5164.00	,4870.00	,5081.50	,4476.50	,4573.50	,4425.00	,3741.00	,3017.80	,2851.60	,2984.30	,2974.80	,2494.50	,2027.60	,1671.00	,1461.20	,1437.50	,1819.40	,1894.90	,2407.50	,1934.00	,1933.20	,1536.50	,1348.70	,1364.60	,1180.00	,1105.70	,1029.60	,995.80	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,14964.26	,15406.62	,15350.12	,15326.13	,15212.37	,14957.28	,14638.86	,14475.73	,14142.34	,13879.09	,13828.23	,13612.62	,13069.66	,12774.48	,12677.49	,12056.15	,11593.49	,11410.12	,11391.22	,9926.74	,10900.73	,10403.81	,10906.41	,10939.70	,10955.37	,10502.26	,9969.97	,9169.68	,8805.42	,8641.03	,9096.80	,8665.90	,8884.10	,8329.60	,7740.70	,7920.50	,7793.30	,7458.60	,7648.00	,6991.50	,6372.00	,5828.50	,5405.50	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
双季晚稻产量 (万吨) 	,	,	,	,3072.95	,3075.98	,3106.52	,3008.72	,3141.52	,3323.15	,3367.99	,3531.22	,3575.52	,3473.67	,3595.11	,3485.87	,3562.81	,3551.93	,3464.70	,3440.19	,3438.57	,3461.47	,3295.89	,3190.57	,3524.15	,3953.95	,4132.46	,4812.37	,4863.64	,4993.60	,5142.10	,5130.92	,4701.68	,4995.27	,4876.70	,5090.50	,4991.60	,4885.00	,4468.70	,4754.20	,4467.20	,4517.60	,4847.00	,4818.50	,4481.50	,3613.50	,3671.00	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
小麦产量 (万吨) 	,14007.00	,14009.94	,13659.01	,13772.34	,13694.45	,13425.38	,13359.63	,13144.05	,13424.13	,13318.83	,13255.52	,12823.52	,12363.93	,12247.49	,11856.95	,11609.34	,11579.61	,11290.13	,10949.15	,10846.59	,9744.51	,9195.18	,8648.85	,9029.00	,9387.34	,9963.58	,11387.96	,10972.61	,12328.85	,11056.91	,10220.70	,9929.70	,10639.00	,10158.70	,9595.30	,9822.90	,9080.70	,8543.20	,8776.80	,9004.00	,8580.50	,8781.50	,8139.00	,6847.00	,5964.00	,5520.50	,6273.00	,5384.00	,4107.50	,5036.00	,4531.00	,4086.50	,3522.50	,3598.50	,3257.50	,2918.50	,2728.50	,2745.50	,2848.50	,2528.00	,2522.00	,2084.00	,1847.50	,1667.10	,1425.60	,2217.80	,2218.50	,2259.30	,2364.40	,2480.90	,2297.30	,2334.10	,1828.80	,1813.10	,1723.70	,1450.20	,1381.50	,
