year,rice,wheat,corn,soybean
1949,98,97,99,95
1950,98,97,99,95
1951,98,97,99,95
1952,98,97,99,95
1953,98,97,99,95
1954,98,97,99,95
1955,98,97,99,95
1956,98,97,99,95
1957,98,97,99,95
1958,98,97,99,95
1959,98,97,99,95
1960,98,97,99,95
1961,98,97,99,95
1962,98,97,99,95
1963,98,97,99,95
1964,98,97,99,95
1965,98,97,99,95
1966,98,97,99,95
1967,98,97,99,95
1968,98,97,99,95
1969,98,97,99,95
1970,98,97,99,95
1971,98,97,99,95
1972,98,97,99,95
1973,98,97,99,95
1974,98,97,99,95
1975,98,97,99,95
1976,98,97,99,95
1977,98,97,99,95
1978,100,98,99,80
1979,100,98,99,80
1980,100,98,99,80
1981,100,98,99,80
1982,100,98,99,80
1983,100,98,99,80
1984,100,98,99,80
1985,100,98,99,80
1986,100,98,99,80
1987,100,98,99,80
1988,100,98,99,80
1989,100,98,99,80
1990,100,96,99,60
1991,100,96,99,60
1992,100,96,99,60
1993,100,96,99,60
1994,100,96,99,60
1995,100,96,99,48
1996,100,96,99,48
1997,100,96,99,48
1998,100,96,99,48
1999,100,96,99,48
2000,99,94,99,38
2001,99,94,99,38
2002,99,94,99,38
2003,99,94,99,38
2004,99,94,99,38
2005,100,97,99,26
2006,100,97,99,26
2007,100,97,99,26
2008,100,97,99,26
2009,100,97,99,26
2010,100,96,98,16
2011,100,96,98,16
2012,100,96,98,16
2013,100,96,98,16
2014,100,96,98,16
2015,99,95,93,13
2016,99,95,93,13
2017,99,95,93,13
2018,99,95,93,13
2019,99,95,93,13
2020,100,94,90,15
2021,100,94,90,15
2022,100,94,90,15
2023,100,94,90,15
2024,100,94,90,15
2025,100,94,90,15
